slug,name,descriptor
tim-ferriss,Tim Ferriss,"man in his late 30s to 40s with fair skin and an average build, short thinning light-brown to blonde hair, clean-shaven face with very faint natural stubble, engaged animated mid-speech expression with mouth slightly open, eyes wide and looking upward and off-camera to his left, washed-gray long-sleeved Henley-style shirt with the top buttons fastened, flesh-colored over-ear headset microphone with a small foam cover resting near the mouth, head and shoulders shot from a slightly low angle as if on a stage, plain light-gray gradient backdrop"
tommy-mello,Tommy Mello,"man in his late 30s to early 40s with tanned warm skin and a muscular broad-shouldered build, short neat brown hair styled upward and slightly spiked at the front, short even layer of dark stubble outlining the jaw and chin, broad confident friendly smile showing a full row of bright upper teeth, relaxed eye contact, dark black collared polo shirt featuring a prominent red, white, and black embroidered emblem on the left chest, framed from the chest up with arms visibly crossed facing the camera squarely, solid dark gray to brown studio background"
tyler-denk,Tyler Denk,"young man in his late 20s to early 30s with olive tanned skin and a lean build, short neat dark-brown hair styled simply, very light precise shadow of stubble evenly covering the jawline chin and upper lip, completely neutral calm resting expression with a relaxed closed mouth, direct steady eye contact, minimalist plain black crew-neck t-shirt, very thin gold chain necklace subtly visible at the neckline, centered dead-on head-and-shoulders passport-style portrait, plain warm beige to off-white background"
zach-yadegari,Zach Yadegari,"young man in his late teens to early 20s with fair skin and naturally rosy cheeks and an athletic build with visible forearm vascularity, thick highly textured curly dark-brown to black hair covering the forehead in a messy casual fringe, clean-shaven face, serious slightly brooding intense neutral expression with a closed mouth, fitted plain black short-sleeved t-shirt, prominent gold rope-chain necklace with a large textured gold Hebrew Chai pendant, chunky black sports smartwatch on the left wrist, leaning casually backward against a low brick wall with a gray stone cap with both arms resting spread out along the top of the wall, dark dense green tree foliage background"
steph-smith,Steph Smith,"woman in her late 20s to early 30s with light olive skin and a lean build, long straight dark-brown hair with natural highlights parted down the middle and falling smoothly over the shoulders, small subtle silver hoop piercing in the left nostril, highly joyful wide open-toothed smile showing bright upper teeth, eyes crinkled with genuine happiness looking upward and off-camera to her left, black leather jacket or overshirt over a dark top featuring a small repeating gold crescent-moon pattern, head and shoulders shot facing slightly to her left, vibrant solid cobalt-blue background"
dhh,David Heinemeier Hansson,"man in his 40s with fair skin and an average build, long light-brown hair swept back falling just past the shoulders, short neat salt-and-pepper beard and mustache, bright warm open-mouthed smile showing both upper and lower teeth, friendly crinkled eyes looking directly at the camera, minimalist plain black crew-neck t-shirt, centered head-and-shoulders shot, background featuring a striking geometric design with a diagonal teal plane overlapping white and light-gray planes"
mrbeast,MrBeast,"young man in his mid-20s with fair pale skin and an average build, short straight dark-brown hair parted casually with a slight fringe, light somewhat patchy goatee and mustache chin scruff, neutral slightly confident closed-mouth expression with gaze directed upward off-camera to his left, dark-tinted aviator-style sunglasses with a subtle blue-silver reflection, black short-sleeved t-shirt featuring a stylized teal, pink, and white animal emblem centered on the chest, standing with arms crossed firmly over chest framed from mid-torso up, highly textured light-gray cinderblock wall background"
peter-rahal,Peter Rahal,"man in his late 30s to early 40s with fair skin and a lean build, short dark-brown to black wavy hair styled upward and back off the forehead, full slightly unkempt dark-brown and graying beard and mustache, engaged gentle smile showing upper teeth, eyes focused upward and to his left as if listening intently or contemplating, blue, black, and white gingham checkered button-down shirt with the collar unbuttoned, seated leaning forward slightly with hands clasped tightly together in front, curved black wooden chair back visible, solid muted light-olive sage green background"
pieter-levels,Pieter Levels,"man in his early-to-mid 30s with fair skin and a lean build, voluminous wavy blonde to light-brown hair styled upward and swept back into a pompadour with much shorter faded sides, light very neat stubble outlining the jawline and chin, calm confident subtle open-mouthed smile showing upper teeth, clear direct blue eyes looking into the lens, tailored dark navy-blue suit blazer over a crisp white dress shirt and a solid dark-blue necktie, close-up professional corporate headshot angled slightly, bright heavily blurred modern glass office building background"
ryan-petersen,Ryan Petersen,"man in his late 30s to early 40s with fair skin and an average build, short neat light-brown hair, full well-groomed dark-brown beard and mustache, exceptionally wide enthusiastic genuine smile showing a full row of bright upper teeth, deeply crinkled happy eyes engaging directly with the camera, dark teal to navy blue heavy knit quarter-zip sweater worn over a darker teal t-shirt, tight dead-center headshot, stark pure white studio background"
sam-parr,Sam Parr,"man in his mid-to-late 30s with fair skin and a slight reddish-pink undertone and a highly muscular athletic build, short light-blonde hair with a tight high fade on the sides styled neatly on top, clean-shaven face, engaged mid-speech expression with raised eyebrows and a slightly open mouth looking off-camera to his left as if in an interview, fitted black short-sleeved t-shirt featuring a prominent rough white brushstroke-style graphic on the torso with small red emblems on the left chest and left sleeve, seated framed from the chest up, professional black broadcast microphone on a stand positioned directly in front of his chest, background split between light wood paneling on the left and a dark black curtain on the right"
shaan-puri,Shaan Puri,"man in his 30s of South Asian descent with medium-brown skin and a sturdy athletic build with visible bicep definition, short dark-brown to black hair faded closely on the sides and back, short neat dark beard and mustache, confident calm subtle closed-mouth smirk, steady direct eye contact, minimalist fitted black crew-neck t-shirt, large black over-ear headphones resting casually around the neck, prominent large-faced silver wristwatch with a thick band on the left wrist, standing squarely facing the camera with arms tightly folded across the chest, pure white background"

